boat_type,manufacturer,model_year,length_ft,beam_ft,engine_hp,hull_material,condition,location,days_on_lot,sale_month,sale_price
Pontoon,Tracker,2021,29.7,9.5,163,Fiberglass,Good,Corpus Christi,93,3,36400
Bowrider,Sea Hunt,2017,21.5,6.8,364,Fiberglass,Excellent,Port Isabel,30,7,54700
Bowrider,Tracker,2012,18.1,5.7,85,Fiberglass,Good,Corpus Christi,71,8,24100
Bowrider,Sea Hunt,2020,17.9,5.9,411,Aluminum,Good,Port Aransas,10,8,47900
Bay Boat,Robalo,2024,24.4,8.2,318,Fiberglass,New,Corpus Christi,194,4,81300
Bay Boat,Mako,2018,23.7,8.3,159,Aluminum,New,Port Aransas,33,10,46900
Bowrider,Robalo,2012,18.6,5.6,408,Aluminum,Fair,South Padre Island,99,7,41100
Bay Boat,Boston Whaler,2014,28.3,9.4,186,Fiberglass,Good,Corpus Christi,47,7,54400
Center Console,Mako,2018,29.4,9.8,449,Fiberglass,Good,South Padre Island,39,4,68000
Pontoon,Mako,2024,19.5,6.5,299,Fiberglass,New,Port Isabel,81,4,70200
Bowrider,Bayliner,2023,18.9,6.0,243,Fiberglass,Excellent,Corpus Christi,193,6,47200
Bowrider,Sea Hunt,2023,19.0,5.9,96,Fiberglass,Good,Port Isabel,98,4,38900
Bowrider,Bennington,2022,21.4,7.3,172,Fiberglass,Fair,South Padre Island,192,8,33300
Center Console,Chaparral,2018,27.9,8.5,96,Fiberglass,Excellent,Galveston,166,5,49800
Pontoon,Grady-White,2019,24.3,7.2,394,Fiberglass,Good,South Padre Island,89,3,68600
Bowrider,Robalo,2021,16.9,5.5,112,Fiberglass,Good,Port Aransas,180,3,44200
Pontoon,Robalo,2020,22.6,6.8,117,Fiberglass,New,Corpus Christi,72,3,57600
Bowrider,Tracker,2019,17.3,4.9,121,Fiberglass,Excellent,Galveston,102,6,49800
Bowrider,Sea Hunt,2012,21.7,6.2,440,Fiberglass,Excellent,Port Isabel,137,1,54800
Deck Boat,Chaparral,2023,21.6,7.2,438,Aluminum,Excellent,Galveston,119,7,62100
Center Console,Nautic Star,2010,25.1,9.0,343,Fiberglass,Good,Galveston,166,5,46900
Deck Boat,Nautic Star,2016,23.7,7.5,102,Fiberglass,Excellent,Galveston,36,7,35200
Bay Boat,Bennington,2016,28.2,8.2,263,Fiberglass,Excellent,South Padre Island,102,11,49600
Center Console,Chaparral,2024,16.2,5.6,430,Fiberglass,Good,Corpus Christi,134,10,48500
Center Console,Nautic Star,2011,26.8,8.1,111,Fiberglass,Good,Galveston,69,7,31900
Pontoon,Tracker,2017,16.3,5.9,372,Fiberglass,Good,Port Isabel,174,6,42700
Deck Boat,Boston Whaler,2015,20.3,6.6,81,Fiberglass,Good,Port Aransas,63,8,38900
Deck Boat,Grady-White,2011,28.3,8.5,376,Fiberglass,Excellent,Port Isabel,63,11,64000
Pontoon,Bennington,2013,25.7,8.2,279,Fiberglass,Good,Port Isabel,68,6,36000
Deck Boat,Chaparral,2016,18.4,5.6,407,Fiberglass,Excellent,Port Aransas,136,2,63800
Pontoon,Bennington,2023,22.9,7.8,230,Fiberglass,Excellent,Galveston,28,9,47900
Center Console,Robalo,2015,26.1,7.5,369,Fiberglass,New,Rockport,32,1,78600
Bowrider,Nautic Star,2023,29.1,10.1,390,Fiberglass,Good,South Padre Island,156,9,47400
Deck Boat,Boston Whaler,2021,24.9,8.5,196,Fiberglass,Good,Rockport,45,2,51900
Center Console,Robalo,2022,16.3,5.7,315,Fiberglass,Excellent,Port Isabel,25,2,72500
Bowrider,Tracker,2022,23.0,8.1,247,Fiberglass,Fair,Galveston,56,9,36300
Pontoon,Sea Hunt,2020,18.1,5.4,236,Fiberglass,Good,Port Isabel,82,8,38300
Center Console,Bennington,2021,16.7,5.4,374,Fiberglass,New,Rockport,11,7,74700
Center Console,Robalo,2012,24.4,8.5,159,Aluminum,Good,Rockport,167,9,32900
Center Console,Sea Hunt,2020,26.9,8.3,119,Fiberglass,Excellent,Port Isabel,27,10,46200
Bay Boat,Sea Hunt,2010,16.5,4.7,255,Fiberglass,Fair,Port Aransas,83,6,31700
Center Console,Sea Hunt,2021,27.0,8.2,383,Fiberglass,Excellent,Corpus Christi,44,12,71600
Pontoon,Boston Whaler,2019,25.9,7.8,136,Aluminum,Excellent,Corpus Christi,62,5,53400
Deck Boat,Tracker,2021,26.5,9.3,202,Fiberglass,Excellent,Port Aransas,13,3,59000
Bowrider,Bennington,2019,19.4,6.2,325,Fiberglass,Excellent,Rockport,189,10,45300
Pontoon,Nautic Star,2015,21.5,7.2,253,Aluminum,Good,Galveston,187,6,34300
Pontoon,Boston Whaler,2015,17.7,6.3,302,Fiberglass,Good,South Padre Island,29,10,52400
Deck Boat,Grady-White,2018,19.3,5.9,273,Aluminum,Excellent,Corpus Christi,43,2,62200
Center Console,Grady-White,2017,20.2,6.9,378,Fiberglass,Good,Rockport,177,3,62300
Center Console,Mako,2015,20.5,5.8,403,Fiberglass,Fair,South Padre Island,85,1,40900
Pontoon,Nautic Star,2017,18.5,5.3,243,Fiberglass,Good,Rockport,17,7,35000
Center Console,Boston Whaler,2018,18.6,5.4,236,Fiberglass,Good,Corpus Christi,31,9,53900
Center Console,Chaparral,2013,28.6,8.7,179,Aluminum,Excellent,Port Aransas,85,5,48400
Bay Boat,Chaparral,2019,27.0,8.4,241,Fiberglass,Excellent,Corpus Christi,113,2,54100
Bowrider,Grady-White,2014,20.8,6.6,388,Aluminum,Fair,Port Aransas,128,5,41800
Deck Boat,Grady-White,2014,29.3,8.8,263,Fiberglass,Good,Port Isabel,34,5,53400
Pontoon,Chaparral,2016,19.3,5.5,334,Fiberglass,Good,South Padre Island,77,7,39300
Deck Boat,Grady-White,2011,21.7,7.3,231,Aluminum,Fair,South Padre Island,55,7,30600
Center Console,Bennington,2019,27.4,7.7,340,Fiberglass,New,Port Aransas,109,2,82300
Bay Boat,Sea Hunt,2021,22.2,7.7,342,Aluminum,Good,Port Aransas,67,6,62200
Center Console,Tracker,2024,19.3,6.8,273,Fiberglass,Excellent,Rockport,44,7,69300
Pontoon,Sea Hunt,2014,21.2,7.1,425,Fiberglass,New,Port Isabel,163,4,65600
Center Console,Robalo,2018,23.0,7.5,403,Fiberglass,Good,Rockport,115,5,61700
Bay Boat,Bayliner,2017,24.7,8.2,134,Fiberglass,Excellent,Rockport,97,7,42700
Bowrider,Nautic Star,2020,21.7,7.2,160,Fiberglass,Fair,South Padre Island,31,5,34500
Deck Boat,Bayliner,2019,22.0,7.8,433,Fiberglass,Excellent,Corpus Christi,18,1,58200
Deck Boat,Bayliner,2022,19.7,7.0,225,Fiberglass,Good,Rockport,160,4,49100
Deck Boat,Grady-White,2022,23.5,7.4,191,Fiberglass,Good,Rockport,193,9,40100
Pontoon,Bennington,2011,19.1,6.3,373,Aluminum,Good,Galveston,118,4,39500
Bay Boat,Chaparral,2015,28.1,9.7,300,Fiberglass,Fair,Corpus Christi,12,9,37900
Pontoon,Tracker,2019,26.5,7.4,124,Fiberglass,Excellent,Rockport,98,6,38900
Bowrider,Tracker,2018,21.7,7.0,109,Aluminum,Excellent,Port Isabel,59,6,40800
Deck Boat,Mako,2017,26.5,8.8,378,Fiberglass,Excellent,Port Aransas,15,9,57000
Deck Boat,Sea Hunt,2012,16.1,5.4,361,Fiberglass,Excellent,Corpus Christi,32,5,54400
Center Console,Boston Whaler,2018,20.8,6.4,207,Fiberglass,Fair,Rockport,102,4,40300
Bay Boat,Bayliner,2021,22.2,6.7,398,Fiberglass,Good,Port Aransas,88,2,49800
Bowrider,Sea Hunt,2010,22.6,6.7,122,Fiberglass,Excellent,Rockport,114,8,30000
Deck Boat,Grady-White,2018,26.5,8.6,400,Fiberglass,Excellent,Rockport,140,6,62800
Bay Boat,Tracker,2023,29.5,10.4,104,Fiberglass,Good,Port Aransas,56,9,36500
Deck Boat,Sea Hunt,2018,21.3,7.5,313,Fiberglass,Good,Corpus Christi,60,6,42300
Deck Boat,Grady-White,2024,20.9,6.5,391,Fiberglass,Excellent,Galveston,137,6,82800
Deck Boat,Sea Hunt,2015,24.5,7.4,307,Fiberglass,Good,South Padre Island,43,5,43900
Pontoon,Grady-White,2010,19.9,6.8,366,Fiberglass,Good,Port Isabel,19,4,48400
Bay Boat,Sea Hunt,2020,18.0,6.1,203,Fiberglass,Good,South Padre Island,171,9,36100
Pontoon,Bayliner,2013,29.5,9.5,183,Aluminum,Excellent,Port Aransas,45,2,43100
Deck Boat,Chaparral,2010,27.3,8.5,174,Fiberglass,Good,Port Isabel,28,11,36300
Bowrider,Nautic Star,2012,29.4,8.5,118,Fiberglass,Excellent,Rockport,148,1,35000
Center Console,Mako,2024,19.0,6.5,178,Fiberglass,Excellent,Galveston,108,6,61800
Center Console,Mako,2021,16.2,5.3,167,Fiberglass,Good,Port Isabel,33,2,44300
Deck Boat,Bennington,2014,22.1,6.9,358,Fiberglass,Good,Rockport,170,9,41400
Deck Boat,Sea Hunt,2018,29.1,10.3,154,Fiberglass,Excellent,Port Isabel,52,4,49000
Pontoon,Mako,2015,17.9,6.0,137,Aluminum,Fair,Rockport,136,7,24400
Deck Boat,Bennington,2012,17.6,6.2,349,Fiberglass,New,South Padre Island,131,11,58900
Bowrider,Mako,2024,17.0,5.4,276,Aluminum,Good,Corpus Christi,166,7,49100
Deck Boat,Sea Hunt,2022,26.7,8.4,155,Fiberglass,Fair,Galveston,147,3,35900
Center Console,Chaparral,2015,27.0,9.6,339,Fiberglass,Good,Rockport,142,9,46000
Center Console,Sea Hunt,2015,25.7,9.2,156,Fiberglass,Good,Port Isabel,15,6,43300
Bowrider,Boston Whaler,2022,16.7,6.0,369,Fiberglass,Good,Rockport,187,1,57800
Center Console,Bayliner,2016,26.1,9.0,87,Aluminum,Good,Galveston,29,6,37900
Bowrider,Boston Whaler,2015,22.3,7.1,296,Aluminum,Good,Galveston,54,9,63300
Bay Boat,Boston Whaler,2015,18.2,5.4,298,Aluminum,Good,Corpus Christi,91,6,43200
Center Console,Robalo,2016,20.1,6.2,214,Fiberglass,Excellent,Corpus Christi,61,8,52000
Bay Boat,Boston Whaler,2017,23.0,8.2,333,Aluminum,Good,Corpus Christi,120,8,59200
Pontoon,Bennington,2010,20.6,6.4,217,Fiberglass,Excellent,Port Isabel,15,6,36100
Deck Boat,Bayliner,2017,29.6,10.1,320,Aluminum,Fair,Rockport,93,5,38600
Pontoon,Nautic Star,2016,22.6,8.0,158,Fiberglass,Excellent,Port Aransas,73,8,37800
Pontoon,Bennington,2014,21.2,7.6,288,Fiberglass,Excellent,South Padre Island,131,5,44000
Deck Boat,Robalo,2015,25.4,9.0,358,Fiberglass,Fair,South Padre Island,106,3,42700
Pontoon,Bayliner,2016,25.1,8.1,437,Fiberglass,Excellent,Port Aransas,152,5,54900
Bowrider,Boston Whaler,2015,16.0,5.1,210,Fiberglass,Excellent,South Padre Island,37,10,57300
Deck Boat,Bayliner,2023,24.7,8.9,252,Aluminum,Good,South Padre Island,190,4,47500
Center Console,Bennington,2017,19.4,5.8,253,Aluminum,Excellent,Rockport,81,4,55700
Deck Boat,Bayliner,2017,21.3,6.3,397,Aluminum,Excellent,Rockport,73,3,54700
Bowrider,Bennington,2013,25.9,9.2,435,Fiberglass,Good,Corpus Christi,111,2,54700
Bay Boat,Robalo,2023,23.8,8.0,317,Fiberglass,Excellent,South Padre Island,36,12,69100
Bowrider,Mako,2010,21.2,6.8,383,Fiberglass,Excellent,Port Isabel,163,6,51300
Deck Boat,Boston Whaler,2018,18.3,5.3,106,Fiberglass,New,Port Isabel,56,8,49600
Pontoon,Nautic Star,2012,23.1,7.4,359,Fiberglass,Excellent,Rockport,185,9,41000
Bay Boat,Nautic Star,2021,20.5,7.3,378,Fiberglass,Excellent,Rockport,33,5,72500
Bowrider,Mako,2015,28.8,9.5,343,Fiberglass,New,Corpus Christi,173,9,57200
Center Console,Grady-White,2014,23.5,7.3,294,Fiberglass,Good,Port Isabel,81,12,55700
Bay Boat,Grady-White,2010,28.1,9.1,412,Fiberglass,Good,Rockport,123,8,51400
Deck Boat,Robalo,2021,21.5,7.5,320,Fiberglass,New,Port Isabel,175,8,73500
Deck Boat,Boston Whaler,2015,27.6,9.7,392,Fiberglass,Excellent,Port Isabel,30,6,67900
Deck Boat,Bennington,2013,16.8,5.2,142,Aluminum,Fair,Port Aransas,72,10,20900
Center Console,Robalo,2022,20.2,6.6,324,Fiberglass,Good,Corpus Christi,189,2,55800
Bay Boat,Bayliner,2010,17.1,5.2,239,Aluminum,Excellent,Galveston,34,8,36900
Center Console,Bayliner,2017,16.4,5.2,400,Fiberglass,Good,South Padre Island,25,5,55800
Deck Boat,Chaparral,2012,28.9,8.6,405,Fiberglass,Excellent,Corpus Christi,106,7,54200
Bay Boat,Nautic Star,2011,26.0,8.4,391,Fiberglass,Good,Port Aransas,9,10,40900
Deck Boat,Bayliner,2010,24.8,8.1,155,Aluminum,Fair,Port Isabel,198,7,23900
Deck Boat,Mako,2012,23.5,7.2,259,Fiberglass,Fair,South Padre Island,181,1,26700
Pontoon,Robalo,2024,24.0,7.2,75,Fiberglass,Excellent,Port Aransas,41,8,47300
Deck Boat,Chaparral,2016,24.9,7.3,442,Fiberglass,Excellent,Galveston,38,11,60100
Pontoon,Chaparral,2024,27.6,8.0,171,Fiberglass,Excellent,Galveston,156,7,47900
Deck Boat,Mako,2014,24.4,8.2,309,Fiberglass,Excellent,Port Aransas,106,10,46800
Pontoon,Grady-White,2021,26.5,7.9,257,Fiberglass,Excellent,Port Isabel,165,9,65000
Pontoon,Mako,2011,19.9,5.8,414,Fiberglass,Good,Galveston,193,10,37900
Bay Boat,Mako,2011,29.7,10.7,382,Fiberglass,Excellent,Corpus Christi,83,5,52800
Bay Boat,Bennington,2010,16.4,4.9,366,Fiberglass,Fair,Port Aransas,54,6,35200
Pontoon,Bayliner,2023,21.4,7.5,316,Fiberglass,New,Port Isabel,125,10,53900
Bay Boat,Bayliner,2020,28.3,9.3,119,Aluminum,New,Corpus Christi,128,11,51300
Deck Boat,Grady-White,2021,18.5,6.2,419,Aluminum,Fair,Corpus Christi,89,3,49200
Center Console,Sea Hunt,2023,18.0,5.8,98,Fiberglass,Good,Galveston,63,3,39800
Deck Boat,Chaparral,2014,21.1,6.2,245,Fiberglass,Excellent,South Padre Island,56,5,44300
Deck Boat,Mako,2020,22.0,7.7,217,Fiberglass,Good,Port Aransas,106,9,42400
Pontoon,Grady-White,2017,29.1,10.1,221,Fiberglass,Excellent,South Padre Island,88,10,56400
Deck Boat,Tracker,2018,27.7,8.5,441,Fiberglass,Excellent,Port Aransas,94,7,66100
Bay Boat,Tracker,2019,22.5,7.7,161,Fiberglass,Good,South Padre Island,23,3,43200
Bowrider,Bayliner,2017,29.6,9.6,292,Aluminum,Excellent,Port Aransas,176,5,54600
Deck Boat,Grady-White,2010,25.0,8.8,156,Fiberglass,Good,Galveston,142,10,28200
Bowrider,Mako,2011,28.2,9.7,416,Aluminum,Excellent,Rockport,184,5,58400
Pontoon,Grady-White,2017,19.4,5.5,351,Fiberglass,Good,Port Isabel,166,2,42400
Deck Boat,Bennington,2018,22.8,8.0,230,Fiberglass,Good,Corpus Christi,125,5,35800
Bowrider,Bennington,2020,16.4,5.9,105,Fiberglass,Excellent,Port Aransas,64,9,37800
Center Console,Mako,2018,16.1,5.5,132,Fiberglass,New,Port Aransas,132,6,51400
Bowrider,Tracker,2012,25.9,7.5,166,Aluminum,Excellent,Galveston,115,3,39600
Bowrider,Boston Whaler,2015,17.7,6.1,227,Fiberglass,Good,Galveston,185,5,53700
Deck Boat,Bayliner,2016,23.7,7.9,407,Fiberglass,Good,Port Isabel,50,12,49400
Pontoon,Grady-White,2024,25.7,7.9,119,Fiberglass,Good,Port Isabel,10,6,47600
Deck Boat,Chaparral,2017,16.5,5.8,291,Aluminum,Excellent,Rockport,29,6,54000
Bay Boat,Tracker,2019,22.3,7.3,205,Fiberglass,Excellent,Port Aransas,39,3,57500
Pontoon,Boston Whaler,2021,25.6,8.9,92,Aluminum,Good,Corpus Christi,134,5,47300
Bay Boat,Robalo,2015,28.5,9.5,307,Aluminum,Excellent,Port Isabel,33,9,53300
Bay Boat,Mako,2024,20.2,6.1,339,Fiberglass,Good,Port Isabel,31,9,49100
Deck Boat,Bayliner,2020,29.6,10.6,434,Fiberglass,Excellent,Port Aransas,82,6,58000
Bowrider,Bayliner,2022,27.8,9.1,265,Fiberglass,Excellent,Corpus Christi,157,10,53200
Bay Boat,Boston Whaler,2021,25.1,8.1,197,Aluminum,Good,Rockport,87,5,53400
Deck Boat,Nautic Star,2019,21.5,6.7,395,Fiberglass,Good,Galveston,57,10,46200
Center Console,Boston Whaler,2010,26.0,7.6,167,Fiberglass,Good,Port Isabel,60,1,45100
Center Console,Mako,2018,27.4,9.2,330,Fiberglass,Excellent,Galveston,164,5,52600
Center Console,Tracker,2011,20.2,6.4,428,Fiberglass,Fair,Rockport,89,10,33400
Center Console,Sea Hunt,2019,29.9,10.6,76,Fiberglass,Good,Rockport,76,11,36700
Bowrider,Tracker,2020,28.7,10.3,421,Fiberglass,Fair,Corpus Christi,155,8,43400
Bowrider,Sea Hunt,2018,22.8,7.8,152,Fiberglass,Good,Corpus Christi,76,8,35500
Bowrider,Tracker,2014,26.1,7.8,255,Fiberglass,Good,Rockport,74,9,38500
Center Console,Grady-White,2010,23.3,7.9,171,Fiberglass,Good,Port Aransas,151,8,37300
Center Console,Sea Hunt,2020,26.7,7.5,129,Fiberglass,Excellent,Port Aransas,68,4,45700
Bay Boat,Mako,2020,27.6,9.6,338,Aluminum,Excellent,Rockport,104,6,59100
Deck Boat,Nautic Star,2017,16.3,5.2,255,Fiberglass,Good,Port Aransas,134,8,36900
Bay Boat,Chaparral,2020,17.1,6.1,265,Fiberglass,New,Corpus Christi,44,7,58900
Deck Boat,Mako,2021,20.7,6.4,256,Aluminum,New,Corpus Christi,30,10,57300
Center Console,Nautic Star,2017,28.8,8.7,355,Fiberglass,Fair,South Padre Island,170,6,45000
Pontoon,Boston Whaler,2010,21.6,7.8,437,Fiberglass,New,Galveston,62,3,78200
Bay Boat,Sea Hunt,2023,28.4,9.2,267,Fiberglass,Good,Rockport,71,4,51500
Center Console,Robalo,2017,22.5,7.9,133,Aluminum,Good,Port Isabel,120,10,34800
Pontoon,Bennington,2020,20.0,7.1,197,Fiberglass,Excellent,Galveston,25,1,48200
Bowrider,Chaparral,2023,28.6,9.2,261,Fiberglass,Fair,Rockport,13,10,39800
Center Console,Sea Hunt,2015,23.8,7.5,113,Fiberglass,Excellent,Port Aransas,86,2,39000
Deck Boat,Nautic Star,2019,21.0,6.8,160,Fiberglass,Fair,South Padre Island,193,5,31200
Bowrider,Sea Hunt,2010,16.6,5.8,150,Fiberglass,Good,Port Aransas,116,9,29300
Pontoon,Tracker,2023,17.6,6.3,439,Fiberglass,Excellent,Corpus Christi,117,5,69700
Bowrider,Nautic Star,2010,18.0,5.5,225,Aluminum,Excellent,Port Isabel,123,9,36700
Deck Boat,Tracker,2018,21.1,7.2,404,Aluminum,Excellent,Port Aransas,172,2,62200
Bay Boat,Boston Whaler,2015,24.5,7.4,281,Fiberglass,Excellent,South Padre Island,167,6,57400
Pontoon,Sea Hunt,2010,20.3,6.7,264,Fiberglass,Excellent,South Padre Island,9,7,38400
Center Console,Chaparral,2016,16.9,5.8,426,Aluminum,Fair,Corpus Christi,110,10,38400
Bay Boat,Mako,2024,19.7,6.9,334,Fiberglass,Excellent,Port Isabel,111,2,63800
Pontoon,Mako,2012,21.7,6.9,164,Fiberglass,Good,Port Aransas,48,5,35800
Pontoon,Sea Hunt,2014,29.9,9.3,180,Aluminum,Excellent,Corpus Christi,195,7,40600
Center Console,Mako,2012,21.5,6.5,324,Fiberglass,Fair,South Padre Island,56,12,32100
Deck Boat,Chaparral,2011,17.2,5.0,75,Aluminum,Excellent,Corpus Christi,167,10,23700
Bay Boat,Sea Hunt,2013,24.1,7.5,132,Fiberglass,Excellent,Port Isabel,24,10,42000
Deck Boat,Mako,2018,28.9,10.1,102,Fiberglass,Good,Port Aransas,122,6,38500
Bowrider,Tracker,2021,27.0,8.5,342,Aluminum,New,Port Aransas,148,7,72500
Center Console,Mako,2020,27.7,8.5,240,Fiberglass,Good,Port Aransas,103,10,45600
Bowrider,Bayliner,2021,29.0,9.8,79,Fiberglass,Excellent,Corpus Christi,25,10,43800
Deck Boat,Chaparral,2020,24.9,7.4,353,Fiberglass,Good,Corpus Christi,29,9,44100
Pontoon,Sea Hunt,2015,29.9,9.0,320,Fiberglass,Good,Galveston,123,9,42300
Deck Boat,Tracker,2023,16.5,5.9,344,Fiberglass,Good,Port Aransas,173,10,41400
Bay Boat,Nautic Star,2012,27.7,7.9,136,Fiberglass,New,Corpus Christi,121,3,46500
Pontoon,Nautic Star,2020,28.0,8.8,403,Fiberglass,Excellent,Port Aransas,24,5,58000
Pontoon,Tracker,2011,28.8,9.4,142,Fiberglass,Excellent,Port Aransas,158,12,25000
Center Console,Tracker,2021,22.7,6.8,289,Fiberglass,Excellent,South Padre Island,94,7,57200
Pontoon,Sea Hunt,2011,27.0,8.2,284,Aluminum,New,Port Isabel,19,3,49000
Pontoon,Mako,2013,18.7,5.6,157,Fiberglass,Fair,Port Aransas,76,6,23900
Bay Boat,Boston Whaler,2015,24.4,7.5,215,Fiberglass,Good,Rockport,44,7,50400
Bowrider,Chaparral,2020,21.0,7.4,94,Fiberglass,Good,Rockport,197,9,38300
Pontoon,Mako,2010,24.3,7.6,251,Fiberglass,Excellent,Corpus Christi,182,9,37300
Bay Boat,Sea Hunt,2013,25.5,8.0,328,Fiberglass,Excellent,Galveston,25,1,53400
Center Console,Robalo,2015,20.9,6.5,190,Fiberglass,Good,South Padre Island,116,6,45600
Pontoon,Bayliner,2020,19.0,6.8,276,Fiberglass,Excellent,Galveston,6,1,51300
Bay Boat,Bayliner,2024,20.5,5.9,432,Aluminum,Excellent,Port Aransas,94,10,66200
Pontoon,Nautic Star,2019,25.3,8.8,162,Aluminum,Good,South Padre Island,35,3,39700
Deck Boat,Mako,2017,25.5,7.8,183,Fiberglass,Good,Corpus Christi,150,7,40200
Deck Boat,Boston Whaler,2015,26.4,9.4,119,Aluminum,Fair,Port Isabel,19,7,27500
Center Console,Mako,2022,17.8,5.4,278,Aluminum,Excellent,Galveston,180,7,65700
Pontoon,Sea Hunt,2011,27.5,7.9,151,Fiberglass,Good,Corpus Christi,50,7,34800
Center Console,Chaparral,2011,25.6,8.2,395,Fiberglass,New,Galveston,56,8,66000
Deck Boat,Nautic Star,2013,16.4,4.9,184,Fiberglass,Excellent,Port Isabel,177,7,31800
Bowrider,Bayliner,2014,20.7,7.0,324,Fiberglass,Good,Rockport,180,2,47400
Bowrider,Bayliner,2016,22.5,7.5,145,Fiberglass,Excellent,Port Aransas,23,5,40800
Bowrider,Chaparral,2024,21.0,7.0,196,Fiberglass,Good,Port Isabel,26,7,47200
Bowrider,Nautic Star,2019,17.6,5.2,139,Fiberglass,Excellent,Port Aransas,171,5,38200
Deck Boat,Nautic Star,2015,18.9,6.4,282,Aluminum,New,Port Aransas,195,9,59000
Bay Boat,Tracker,2013,16.3,5.0,85,Aluminum,Fair,Corpus Christi,100,5,20600
Bowrider,Tracker,2019,17.3,6.2,106,Fiberglass,Excellent,Port Isabel,37,9,38200
Bowrider,Sea Hunt,2013,19.7,6.7,263,Fiberglass,Good,Rockport,34,3,33500
Bowrider,Sea Hunt,2024,27.5,9.0,279,Fiberglass,Excellent,Galveston,56,9,57000
Pontoon,Nautic Star,2017,23.4,8.2,198,Fiberglass,Fair,Rockport,138,3,29100
Center Console,Bayliner,2018,21.9,7.2,236,Aluminum,Excellent,Port Aransas,23,6,58500
Deck Boat,Tracker,2023,25.3,8.2,231,Aluminum,Excellent,Corpus Christi,130,5,53000
Deck Boat,Tracker,2014,23.6,7.1,359,Aluminum,Good,Port Isabel,161,7,47900
Bowrider,Mako,2017,17.8,5.9,242,Aluminum,Excellent,Port Isabel,33,4,44700
Bay Boat,Nautic Star,2017,19.1,5.9,392,Aluminum,Excellent,Corpus Christi,196,9,52400
Bay Boat,Bennington,2014,19.1,5.4,156,Fiberglass,Fair,Corpus Christi,197,7,25900
Center Console,Mako,2010,24.4,8.4,149,Fiberglass,Good,Galveston,62,12,34100
Bowrider,Sea Hunt,2014,22.5,6.4,226,Fiberglass,Good,Corpus Christi,26,8,38800
Pontoon,Tracker,2011,21.4,7.1,105,Fiberglass,Good,Rockport,68,7,27900
Center Console,Sea Hunt,2020,23.8,7.0,326,Fiberglass,Good,Port Isabel,55,9,51900
Deck Boat,Nautic Star,2010,29.6,9.3,221,Fiberglass,Fair,Port Aransas,59,4,31900
Deck Boat,Tracker,2014,20.4,7.1,212,Aluminum,Good,Port Aransas,185,7,32400
Deck Boat,Sea Hunt,2023,23.3,6.7,275,Fiberglass,Excellent,Port Isabel,35,5,59300
Bowrider,Robalo,2018,22.7,7.6,105,Aluminum,New,South Padre Island,66,8,57900
Center Console,Bayliner,2020,26.0,8.6,216,Aluminum,Good,Port Aransas,158,1,40600
Bay Boat,Mako,2020,26.2,9.2,439,Fiberglass,Good,Corpus Christi,16,6,61800
Center Console,Tracker,2014,26.2,7.7,310,Fiberglass,Good,Port Isabel,16,7,50400
Bay Boat,Chaparral,2019,18.8,6.5,290,Fiberglass,Excellent,Port Isabel,63,6,60200
Bowrider,Tracker,2013,22.3,7.0,264,Fiberglass,Excellent,Corpus Christi,193,4,49300
Bowrider,Bennington,2019,27.4,8.6,250,Fiberglass,Good,Rockport,168,6,46700
Center Console,Nautic Star,2020,21.3,6.6,426,Aluminum,Good,Corpus Christi,185,10,56000
Pontoon,Boston Whaler,2023,29.8,9.3,423,Fiberglass,Excellent,Corpus Christi,173,4,76800
Bay Boat,Mako,2023,21.1,6.8,228,Fiberglass,Good,South Padre Island,28,5,47600
Center Console,Robalo,2010,23.0,6.6,421,Fiberglass,Good,South Padre Island,83,12,46600
Bay Boat,Bennington,2014,22.6,7.1,105,Fiberglass,Fair,Port Isabel,108,11,27600
Center Console,Tracker,2018,22.1,7.3,194,Fiberglass,New,Rockport,37,1,60200
Deck Boat,Bayliner,2014,27.8,8.9,188,Fiberglass,Fair,Corpus Christi,198,6,27500
Bowrider,Grady-White,2019,18.2,5.3,336,Fiberglass,Good,Galveston,122,2,58700
Deck Boat,Grady-White,2022,23.9,7.4,302,Fiberglass,Good,Port Isabel,171,11,59900
Pontoon,Robalo,2013,24.7,7.8,252,Fiberglass,New,Galveston,55,6,60000
Deck Boat,Chaparral,2023,27.9,9.3,171,Fiberglass,Good,Port Aransas,144,6,41200
Center Console,Grady-White,2023,24.5,8.6,265,Fiberglass,Good,Corpus Christi,25,4,50000
Center Console,Bennington,2023,29.4,9.5,175,Fiberglass,Excellent,South Padre Island,9,7,59100
Bay Boat,Bayliner,2011,28.2,9.4,261,Fiberglass,Excellent,South Padre Island,129,3,44700
Bay Boat,Grady-White,2014,20.9,6.0,202,Fiberglass,Good,South Padre Island,18,9,45200
Bowrider,Bayliner,2011,28.0,10.0,408,Fiberglass,Good,Corpus Christi,58,6,52500
Bowrider,Chaparral,2011,29.4,9.0,354,Fiberglass,New,Corpus Christi,159,7,65500
Bowrider,Chaparral,2010,19.6,6.0,140,Fiberglass,Excellent,Galveston,102,10,35900
Pontoon,Bennington,2016,24.5,7.3,427,Fiberglass,Excellent,Port Isabel,78,3,62500
Deck Boat,Boston Whaler,2011,19.9,5.7,322,Fiberglass,Fair,Galveston,61,3,46000
Pontoon,Mako,2014,25.1,8.6,206,Aluminum,Fair,South Padre Island,135,6,31600
Deck Boat,Tracker,2024,17.3,5.2,273,Fiberglass,Excellent,Port Isabel,191,9,55900
